1;123630;5;591;
1;248603;1;1264;
1;212702;1;1068;
1;30643;1;136;
1;39842;1;194;
1;37133;1;179;
1;354593;1;1880;
1;177574;1;873;
1;319911;1;1674;
1;307202;1;1605;
1;243307;5;1224;
1;334187;5;1742;
1;25150;2;113;
1;49781;1;239;
1;248176;1;1260;
1;192716;1;952;
1;115162;10;543;
1;191217;1;942;
1;294419;1;1532;
1;384072;5;2007;
2;57500;1;276;
2;97972;1;454;
2;374972;2;1978;
2;109807;1;520;
2;190270;1;938;
2;311262;2;1631;
2;15003;2;71;
2;282103;1;1451;
2;265420;1;1355;
2;150084;8;730;
2;327413;3;1707;
2;364125;1;1927;
2;190006;2;937;
2;369289;1;1942;
2;186533;2;917;
2;142093;1;687;
2;373947;1;1970;
2;307414;1;1610;
2;87433;2;406;
2;52478;2;253;
2;290375;2;1507;
3;170541;2;836;
3;165401;1;806;
3;348629;6;1839;
3;52478;1;253;
3;292298;5;1513;
3;334240;1;1743;
3;91177;2;422;
3;315812;1;1658;
3;24825;1;112;
3;333259;1;1738;
3;86545;7;401;
3;157386;1;770;
3;243769;5;1226;
3;52176;2;251;
3;14397;2;68;
3;182053;1;897;
3;315425;1;1654;
3;177172;1;869;
4;262242;1;1341;
4;251150;1;1282;
4;253868;1;1300;
4;105434;1;495;
4;242151;1;1220;
4;319788;1;1672;
4;234609;1;1179;
4;309672;1;1620;
4;292298;1;1513;
4;134402;1;647;
4;38941;1;189;
4;117727;1;565;
4;165401;1;806;
4;170645;1;837;
4;334240;1;1743;
4;357202;1;1886;
4;11011;1;52;
5;78960;1;371;
5;128469;3;621;
5;260046;5;1332;
5;295238;4;1534;
5;78642;9;370;
5;195955;3;970;
5;277126;1;1410;
5;37054;1;177;
5;334187;5;1742;
5;120857;1;578;
5;68212;5;314;
5;289658;1;1504;
5;25150;1;113;
5;243769;2;1226;
5;49781;1;239;
5;314086;4;1643;
5;12985;3;60;
5;310418;2;1627;
5;65358;2;306;
5;217471;6;1085;
5;353700;2;1876;
6;170541;1;836;
6;242151;1;1220;
6;192716;1;952;
6;14397;1;68;
6;185028;2;910;
6;195955;4;970;
6;90822;1;418;
6;107193;1;507;
6;273894;1;1396;
6;86689;1;402;
6;129495;1;631;
6;2078;1;9;
6;105434;1;495;
6;25150;1;113;
6;192425;1;950;
6;359476;1;1895;
6;331326;1;1729;
6;170222;1;832;
6;117727;1;565;
6;25323;1;115;
6;333259;1;1738;
6;38941;1;189;
6;362643;1;1914;
6;170645;1;837;
7;189538;6;934;
7;249909;1;1274;
7;106583;5;503;
7;241705;1;1217;
7;242586;1;1222;
7;289658;1;1504;
7;370393;1;1944;
7;205995;2;1021;
7;68212;6;314;
7;149980;4;729;
7;147248;2;714;
7;30643;3;136;
7;87433;2;406;
7;192716;1;952;
7;362643;2;1914;
7;188549;2;930;
7;49724;2;237;
8;333259;1;1738;
8;2078;1;9;
8;170541;1;836;
8;242151;1;1220;
8;240848;1;1212;
8;241705;1;1217;
8;331326;1;1729;
8;196087;2;971;
8;334240;1;1743;
8;109807;1;520;
8;314086;1;1643;
8;165753;2;809;
8;307140;1;1604;
8;165401;1;806;
8;309384;1;1618;
8;243769;1;1226;
8;91177;2;422;
8;167248;1;816;
8;221730;1;1110;
8;107193;1;507;
8;8402;1;42;
9;24825;1;112;
9;348629;1;1839;
9;2078;1;9;
9;307140;4;1604;
9;116856;2;560;
9;55364;1;264;
9;309672;1;1620;
9;337625;1;1762;
9;49321;1;234;
9;125710;1;602;
9;12454;1;57;
9;28632;1;130;
9;47671;1;225;
9;170222;1;832;
9;217471;6;1085;
9;12726;1;59;
9;313059;5;1639;
9;108137;2;511;
9;339774;1;1778;
9;45592;1;219;
9;365793;5;1930;
9;32810;1;147;
10;199859;3;991;
10;243769;5;1226;
10;376874;8;1984;
10;228613;1;1143;
10;277126;1;1410;
10;98664;2;459;
10;49469;2;235;
10;183790;3;904;
10;302569;3;1581;
10;212017;3;1061;
10;367513;3;1934;
10;163994;5;801;
10;287391;6;1487;
10;359613;7;1896;
10;86545;4;401;
10;105694;6;499;
10;111713;4;528;
10;220273;5;1101;
10;76143;4;356;
11;93895;1;435;
11;259912;1;1330;
11;224878;1;1125;
11;288371;1;1493;
11;326432;1;1704;
11;123457;1;590;
11;243307;1;1224;
11;227759;3;1138;
11;261901;1;1340;
11;311262;1;1631;
11;100897;1;475;
11;369289;1;1942;
11;205995;1;1021;
11;177486;1;872;
11;157562;2;772;
11;188549;1;930;
11;339795;7;1779;
11;385877;1;2017;
12;241705;1;1217;
12;302369;1;1579;
12;283784;1;1464;
12;87433;1;406;
12;221730;1;1110;
12;217471;1;1085;
12;115274;1;545;
12;243770;8;1227;
12;248603;3;1264;
12;129083;1;626;
12;288653;5;1494;
12;243769;5;1226;
12;177486;2;872;
12;98924;1;461;
12;155148;6;759;
12;54386;5;260;
12;183796;4;905;
12;339774;4;1778;
12;25150;3;113;
12;55364;4;264;
12;245936;5;1247;
12;191499;1;945;
13;86545;1;401;
13;310418;1;1627;
13;241705;1;1217;
13;91177;7;422;
13;183790;1;904;
13;245936;1;1247;
13;315812;1;1658;
13;2078;1;9;
13;307140;1;1604;
13;357810;1;1889;
13;183796;1;905;
13;38941;1;189;
13;243769;1;1226;
13;142745;1;694;
13;14397;1;68;
13;97972;1;454;
13;242151;1;1220;
13;165401;1;806;
13;334240;1;1743;
14;74558;1;350;
14;14903;1;70;
14;271459;1;1384;
14;76417;2;360;
14;292369;2;1514;
14;49781;2;239;
14;71547;6;337;
14;177172;6;869;
14;116467;1;556;
14;239655;1;1206;
14;187097;2;922;
14;343207;1;1806;
14;203980;3;1011;
14;150084;1;730;
14;2242;1;11;
14;282103;1;1451;
14;170541;1;836;
14;222088;5;1112;
15;364125;9;1927;
15;105213;1;494;
15;276233;1;1402;
15;114624;2;540;
15;212017;1;1061;
15;60252;2;286;
15;123457;4;590;
15;177486;1;872;
15;167248;3;816;
15;288347;1;1492;
15;238581;1;1198;
15;142093;2;687;
15;305804;3;1596;
15;186533;2;917;
15;344876;1;1812;
15;297506;1;1547;
15;86689;3;402;
16;16220;1;76;
16;357810;2;1889;
16;348629;2;1839;
16;259912;2;1330;
16;346138;2;1820;
16;30292;1;135;
16;79814;1;374;
16;233632;1;1174;
16;183790;2;904;
16;105434;2;495;
16;91177;2;422;
16;245012;2;1238;
16;217471;1;1085;
16;170222;1;832;
16;138672;2;677;
16;245936;2;1247;
16;314350;2;1648;
16;45592;2;219;
17;183790;1;904;
17;183720;3;903;
17;326792;3;1705;
17;251150;4;1282;
17;211334;3;1059;
17;301674;1;1574;
17;354625;2;1881;
17;7658;1;40;
17;348559;3;1838;
17;212753;1;1069;
17;212050;2;1063;
17;124000;1;594;
17;157330;1;769;
17;178571;2;877;
17;25706;5;118;
17;335634;3;1755;
17;3449;1;18;
18;150085;1;731;
18;841;8;5;
18;247288;5;1254;
18;86545;9;401;
18;311604;1;1633;
18;37271;5;182;
18;301603;7;1570;
18;301623;2;1572;
18;205438;3;1019;
18;5310;7;23;
18;245704;7;1245;
18;378274;1;1987;
18;24236;4;107;
18;278921;3;1423;
18;289658;1;1504;
18;157386;3;770;
18;281102;1;1442;
18;39842;2;194;
18;54368;1;259;
19;235145;7;1182;
19;195624;1;967;
19;74321;6;348;
19;315812;6;1658;
19;241705;4;1217;
19;330448;1;1724;
19;200091;2;992;
19;339376;6;1775;
19;138672;9;677;
19;3525;4;19;
19;288653;7;1494;
19;142745;9;694;
19;196700;6;977;
19;68212;1;314;
19;282103;1;1451;
19;287657;5;1490;
19;314114;6;1644;
19;333259;3;1738;
20;157386;1;770;
20;335674;1;1756;
20;315812;3;1658;
20;247570;1;1256;
20;270854;1;1380;
